id,Path (for context only),Term to translate,translation
00141D,"Political, social and economic conditions -> Organisation of work -> Contracting -> Outsourcing",Outsourcing,
00861D,"Political, social and economic conditions -> Organisation of work -> Working time -> Irregular working hours",Irregular working hours,
00961D,"Political, social and economic conditions -> Organisation of work -> Working time -> Weekend working",Weekend working,
01091D,"Political, social and economic conditions -> Organisation of work -> Working time -> Rest period",Rest period,
01101D,"Political, social and economic conditions -> Organisation of work -> Working time -> Driving period",Driving period,
01381E,"Political, social and economic conditions -> Organisation of work -> Private sector -> Small and medium-sized companies -> Family enterprise",Family enterprise,
01541D,"Political, social and economic conditions -> Organisation of work -> Quality of work -> Decent work",Decent work,
01741D,"Political, social and economic conditions -> Organisation of work -> Forms of work organisation -> Sheltered employment",Sheltered employment,
01771D,"Political, social and economic conditions -> Organisation of work -> Forms of work organisation -> Undeclared work",Undeclared work,
01851D,"Political, social and economic conditions -> Organisation of work -> Forms of work contracts -> Full time employment",Full time employment,
01861D,"Political, social and economic conditions -> Organisation of work -> Forms of work contracts -> Job sharing",Job sharing,
01971D,"Political, social and economic conditions -> Organisation of work -> Forms of work contracts -> Piece work",Piece work,
01981D,"Political, social and economic conditions -> Organisation of work -> Forms of work contracts -> Short-time working",Short-time working,
02806D,"Political, social and economic conditions -> Political, social, economic issues -> Demography -> Age and work",Age and work,
02811E,"Political, social and economic conditions -> Political, social, economic issues -> Demography -> Age and work -> Ageing workforce",Ageing workforce,
02816D,"Political, social and economic conditions -> Political, social, economic issues -> Demography -> Disability issues",Disability issues,
02821E,"Political, social and economic conditions -> Political, social, economic issues -> Demography -> Disability issues -> Mental disability issues",Mental disability issues,
02823E,"Political, social and economic conditions -> Political, social, economic issues -> Demography -> Disability issues -> Physical disability issues",Physical disability issues,
02826F,"Political, social and economic conditions -> Political, social, economic issues -> Demography -> Disability issues -> Physical disability issues -> Sight disability issues",Sight disability issues,
02829F,"Political, social and economic conditions -> Political, social, economic issues -> Demography -> Disability issues -> Physical disability issues -> Hearing disability issues",Hearing disability issues,
02833F,"Political, social and economic conditions -> Political, social, economic issues -> Demography -> Disability issues -> Physical disability issues -> Mobility issues",Mobility issues,
02836E,"Political, social and economic conditions -> Political, social, economic issues -> Demography -> Disability issues -> Learning disability issues",Learning disability issues,
02941D,"Political, social and economic conditions -> Political, social, economic issues -> Demography -> Ethnicity and race",Ethnicity and race,
02951C,"Political, social and economic conditions -> Political, social, economic issues -> Diversity at Work",Diversity at Work,
02971D,"Political, social and economic conditions -> Political, social, economic issues -> Economic aspects -> Economic incentives for occupational safety and health performance",Economic incentives for occupational safety and health performance,
02981D,"Political, social and economic conditions -> Political, social, economic issues -> Economic aspects -> Business competitiveness and occupational safety and health",Business competitiveness and occupational safety and health,
03331D,"Political, social and economic conditions -> Political, social, economic issues -> Industrial relations -> Sectoral social dialogue",Sectoral social dialogue,
03341D,"Political, social and economic conditions -> Political, social, economic issues -> Industrial relations -> Social partner agreement",Social partner agreement,
03571E,"Political, social and economic conditions -> Political, social, economic issues -> Labour market -> Employment -> Designated employment",Designated employment,
03576E,"Political, social and economic conditions -> Political, social, economic issues -> Labour market -> Employment -> Outplacement",Outplacement,
03581E,"Political, social and economic conditions -> Political, social, economic issues -> Labour market -> Employment -> Reservation of special posts",Reservation of special posts,
03651E,"Political, social and economic conditions -> Political, social, economic issues -> Labour market -> Workforce -> Flexible labour force",Flexible labour force,
03661E,"Political, social and economic conditions -> Political, social, economic issues -> Labour market -> Workforce -> Flexicurity",Flexicurity,
03671E,"Political, social and economic conditions -> Political, social, economic issues -> Labour market -> Workforce -> Free movement of workers",Free movement of workers,
04121D,"Political, social and economic conditions -> Political, social, economic issues -> Changing world of work -> Information and communication technology (ICT)",Information and communication technology (ICT),
04161D,"Political, social and economic conditions -> Political, social, economic issues -> Changing world of work -> New technology demands on workers",New technology demands on workers,
04321D,"Political, social and economic conditions -> Political, social, economic issues -> Strategies -> Community occupational safety and health strategies",Community occupational safety and health strategies,
04421D,"Political, social and economic conditions -> Political, social, economic issues -> Mainstreaming -> Mainstreaming occupational safety and health into education",Mainstreaming occupational safety and health into education,
04611E,"Political, social and economic conditions -> Political, social, economic issues -> Employability -> Competence -> Lifelong learning",Lifelong learning,
05611E,"Political, social and economic conditions -> Political, social, economic issues -> Work life balance -> Holidays -> Paternal leave",Paternal leave,
05621E,"Political, social and economic conditions -> Political, social, economic issues -> Work life balance -> Holidays -> Paternity leave",Paternity leave,
05631E,"Political, social and economic conditions -> Political, social, economic issues -> Work life balance -> Holidays -> Maternity leave",Maternity leave,
05801C,"Political, social and economic conditions -> Agency network partners -> Governing Board",Governing Board,
05841D,"Political, social and economic conditions -> Agency network partners -> Governing Board -> Bureau of Governing board",Bureau of Governing board,
05971D,"Political, social and economic conditions -> Agency network partners -> European Agency for Safety and Health at Work -> European Risk Observatory",European Risk Observatory,
10241D,"Risk analysis and management -> Education, OSH information, OSH training -> Educational level -> Vocational training",Vocational training,
10311D,"Risk analysis and management -> Education, OSH information, OSH training -> Educational level -> Postgraduate education",Postgraduate education,
10621C,"Risk analysis and management -> Education, OSH information, OSH training -> Professional qualification",Professional qualification,
11091E,"Risk analysis and management -> Education, OSH information, OSH training -> Training organisation -> On-the-job training -> Induction training",Induction training,
11101E,"Risk analysis and management -> Education, OSH information, OSH training -> Training organisation -> On-the-job training -> Work experience",Work experience,
11111E,"Risk analysis and management -> Education, OSH information, OSH training -> Training organisation -> On-the-job training -> Traineeship",Traineeship,
11621E,Risk analysis and management -> Safety and health management -> Ergonomics -> Design -> Vehicle design,Vehicle design,
12061E,Risk analysis and management -> Safety and health management -> Ergonomics -> Ergonomic factors -> Human-machine interface,Human-machine interface,
15281F,"Risk analysis and management -> Safety and health management -> Control techniques, incl. occupational hygiene -> Control measures -> Dangerous substances management -> Labelling of dangerous substances",Labelling of dangerous substances,
15481F,"Risk analysis and management -> Safety and health management -> Control techniques, incl. occupational hygiene -> Control measures -> Dangerous substances management -> Packaging of dangerous substances",Packaging of dangerous substances,
15601F,"Risk analysis and management -> Safety and health management -> Control techniques, incl. occupational hygiene -> Control measures -> Dangerous substances management -> Storage of dangerous substances",Storage of dangerous substances,
17771E,"Risk analysis and management -> Safety and health management -> Control techniques, incl. occupational hygiene -> Control measures -> Temperature control in workplaces",Temperature control in workplaces,
17781F,"Risk analysis and management -> Safety and health management -> Control techniques, incl. occupational hygiene -> Control measures -> Temperature control in workplaces -> Air conditioning systems",Air conditioning systems,
17791F,"Risk analysis and management -> Safety and health management -> Control techniques, incl. occupational hygiene -> Control measures -> Temperature control in workplaces -> Heating systems",Heating systems,
18301E,"Risk analysis and management -> Safety and health management -> Control techniques, incl. occupational hygiene -> Accident prevention -> Farm safety",Farm safety,
18321E,"Risk analysis and management -> Safety and health management -> Control techniques, incl. occupational hygiene -> Accident prevention -> Biosafety",Biosafety,
18341E,"Risk analysis and management -> Safety and health management -> Control techniques, incl. occupational hygiene -> Accident prevention -> Laboratory safety",Laboratory safety,
19061F,Risk analysis and management -> Safety and health management -> Safety management -> Emergency planning -> Emergency services -> Coastguard,Coastguard,
21821C,Risk analysis and management -> Legal requirements -> Case law,Case law,
22501C,Risk analysis and management -> Legal requirements -> Notification of diseases,Notification of diseases,
22851D,Risk analysis and management -> Occupational health services -> First aid -> First aid personnel,First aid personnel,
22861D,Risk analysis and management -> Occupational health services -> First aid -> First aid training,First aid training,
22961D,Risk analysis and management -> Occupational health services -> Workplace health promotion -> Exercise and physical activity,Exercise and physical activity,
22971D,Risk analysis and management -> Occupational health services -> Workplace health promotion -> Health monitoring and screening,Health monitoring and screening,
22981D,Risk analysis and management -> Occupational health services -> Workplace health promotion -> Healthy eating,Healthy eating,
23046D,Risk analysis and management -> Occupational health services -> Workplace health promotion -> Mental health promotion,Mental health promotion,
23051D,Risk analysis and management -> Occupational health services -> Workplace health promotion -> Sexual health promotion,Sexual health promotion,
23056D,Risk analysis and management -> Occupational health services -> Workplace health promotion -> Sickness absence management,Sickness absence management,
23061D,Risk analysis and management -> Occupational health services -> Workplace health promotion -> Substances awareness,Substances awareness,
23064E,Risk analysis and management -> Occupational health services -> Workplace health promotion -> Substances awareness -> Tobacco awareness,Tobacco awareness,
23067E,Risk analysis and management -> Occupational health services -> Workplace health promotion -> Substances awareness -> Alcohol awareness,Alcohol awareness,
23071E,Risk analysis and management -> Occupational health services -> Workplace health promotion -> Substances awareness -> Drugs awareness,Drugs awareness,
23681C,Risk analysis and management -> Occupational health services -> Psychosocial health services,Psychosocial health services,
25261D,Risk analysis and management -> Methodologies -> OSH Research -> Emerging risk,Emerging risk,
25281D,Risk analysis and management -> Methodologies -> OSH Research -> Research findings,Research findings,
25381D,Risk analysis and management -> Methodologies -> OSH Research -> Survey,Survey,
25811E,Risk analysis and management -> Methodologies -> Registers -> Disease and death registers -> Cancer register,Cancer register,
26041D,Risk analysis and management -> Methodologies -> Statistics -> Statistics on sickness absence,Statistics on sickness absence,
28491C,Risk analysis and management -> Workers compensation -> Retention of ill and injured workers,Retention of ill and injured workers,
28501C,Risk analysis and management -> Workers compensation -> Return to work,Return to work,
28701C,Hazards at work -> Biological hazards -> Hypoglycin,Hypoglycin,
28711C,Hazards at work -> Biological hazards -> Marine toxin,Marine toxin,
28851E,Hazards at work -> Biological hazards -> Microbiological hazards -> Microorganisms -> Exotoxin,Exotoxin,
29231C,Hazards at work -> Biological hazards -> Venom,Venom,
29606D,Hazards at work -> Chemical hazards -> General chemical terms -> REACH,REACH,
29611E,Hazards at work -> Chemical hazards -> General chemical terms -> REACH -> Chemical safety assessment,Chemical safety assessment,
29616E,Hazards at work -> Chemical hazards -> General chemical terms -> REACH -> Chemical safety report,Chemical safety report,
29621E,Hazards at work -> Chemical hazards -> General chemical terms -> REACH -> Downstream user,Downstream user,
29626E,Hazards at work -> Chemical hazards -> General chemical terms -> REACH -> Globally harmonised system (GHS),Globally harmonised system (GHS),
29631E,Hazards at work -> Chemical hazards -> General chemical terms -> REACH -> Registration of chemicals under REACH,Registration of chemicals under REACH,
30941E,Hazards at work -> Chemical hazards -> Chemical hazards related  to origins -> Organic compounds -> Formaldehyde,Formaldehyde,
33531F,Hazards at work -> Chemical hazards -> Chemical hazards related  to origins -> Substances originating from production processes -> Engine exhaust -> Diesel engine exhaust,Diesel engine exhaust,
34051D,Hazards at work -> Chemical hazards -> Chemical hazards related to effects -> Dermotoxin,Dermotoxin,
34061D,Hazards at work -> Chemical hazards -> Chemical hazards related to effects -> Dioxin,Dioxin,
34071D,Hazards at work -> Chemical hazards -> Chemical hazards related to effects -> Immunotoxin,Immunotoxin,
34141D,Hazards at work -> Chemical hazards -> Chemical hazards related to effects -> Ototoxic substances,Ototoxic substances,
34381D,Hazards at work -> Chemical hazards -> Chemical hazards related to effects -> Oxidants,Oxidants,
35091F,Hazards at work -> Chemical hazards -> Chemical hazards related to state -> Gases -> Compressed gases -> Compressed air,Compressed air,
35221F,Hazards at work -> Chemical hazards -> Chemical hazards related to state -> Gases -> Compressed gases -> Liquefied natural gas (LNG),Liquefied natural gas (LNG),
36691D,Hazards at work -> Chemical hazards -> Chemical hazards related to use in the workplace -> Biocide,Biocide,
37771E,Hazards at work -> Chemical hazards -> Chemical hazards related to use in the workplace -> Pesticides -> Chemosterilant,Chemosterilant,
38051E,Hazards at work -> Chemical hazards -> Chemical hazards related to use in the workplace -> Pesticides -> Insecticide,Insecticide,
